category,product,platform,regions_languages,revisions,primary_track,status,source_media_policy
core_game,Pokemon Ruby,GBA,JP|NA|EU|AU and other official releases,all verified revisions,GBA decompilation,phase_1_active,local_only
core_game,Pokemon Sapphire,GBA,JP|NA|EU|AU and other official releases,all verified revisions,GBA decompilation,phase_1_active,local_only
core_game,Pokemon Emerald,GBA,JP|NA|EU|AU and other official releases,all verified revisions,GBA decompilation,phase_1_active,local_only
core_game,Pokemon FireRed,GBA,JP|NA|EU|AU and other official releases,all verified revisions,GBA decompilation,phase_1_active,local_only
core_game,Pokemon LeafGreen,GBA,JP|NA|EU|AU and other official releases,all verified revisions,GBA decompilation,phase_1_active,local_only
gamecube_game,Pokemon Colosseum,GameCube,JP|NA|PAL official releases,all verified revisions,GameCube executable+filesystem reconstruction,phase_1_active_source_required,local_only
gamecube_game,Pokemon XD Gale of Darkness,GameCube,JP|NA|PAL official releases,all verified revisions,GameCube executable+filesystem reconstruction,phase_1_active_source_required,local_only
gamecube_software,Pokemon Box Ruby & Sapphire,GameCube,JP|NA|PAL official releases,all verified revisions,GameCube executable+save+GBA link reconstruction,phase_1_active_source_required,local_only
gamecube_software,Pokemon Channel,GameCube,official regions relevant to Gen III distribution/link,all verified revisions,distribution/link integration analysis,phase_1_active_source_required,local_only
peripheral,Nintendo e-Reader,GBA peripheral,JP|NA and supported official markets,hardware/software revisions as verified,e-Reader protocol+card payload reconstruction,phase_1_active,local_only
peripheral,GBA Wireless Adapter,GBA peripheral,all supported official markets,all verified revisions,wireless protocol reconstruction,phase_1_active,local_only
link,GameCube-GBA Link Cable,GameCube+GBA,all supported official markets,n/a,serial/link protocol reconstruction,phase_1_active,n/a
distribution,Bonus Discs and distribution discs,GameCube,all documented official regions,all verified disc revisions,distribution executable+payload reconstruction,phase_1_active_source_required,local_only
distribution,Official event cartridges and devices,GBA|mixed,all documented official regions,all verified revisions,event payload+protocol reconstruction,phase_1_active_source_required,local_only
feature,Mystery Event,GBA,per-title and per-region availability,all verified revisions,event protocol+save flags+payload reconstruction,phase_1_active,n/a
feature,Mystery Gift,GBA,per-title and per-region availability,all verified revisions,wireless/event protocol+save flags reconstruction,phase_1_active,n/a
event,Eon Ticket,GBA,JP|NA|PAL variants where applicable,all verified distributions,event data+flag+e-Reader/distribution linkage,phase_1_active,local_only
event,AuroraTicket,GBA,all documented official regions,all verified distributions,event data+flag+distribution linkage,phase_1_active,local_only
event,MysticTicket,GBA,all documented official regions,all verified distributions,event data+flag+distribution linkage,phase_1_active,local_only
event,Old Sea Map,GBA,Japan official distribution,all verified distributions,event data+flag+distribution linkage,phase_1_active,local_only
