ID,Event,Gold / Silver,Crystal,HeartGold / SoulSilver,Integration decision,Class,Evidence
PH4-001,Route 34 / Day-Care introduction,The Day-Care is available as a normal facility on Route 34; no opposite-gender protagonist/Marill escort scene is required.,Keeps the same core Day-Care function and Route 34 progression.,The opposite-gender protagonist and Marill stage a dedicated introduction that escorts the player into the Day-Care.,"Preserve the GSC Day-Care system and open access. Add the HGSS escort/introduction as a first-visit story scene, never as a hard requirement for using the facility.",HGSS additive story choreography,pokeheartgold files/fielddata/script/scr_seq/scr_seq_0237_R34.s; scr_seq_0238_R34R0101.s
PH4-002,Day-Care phone contacts,Day-Care mechanics exist without the HGSS automatic dual-contact introduction.,Same core facility role.,The Route 34 intro registers both Day-Care Man and Day-Care Lady Pokégear numbers.,Add both contacts after the HGSS introduction while leaving breeding/Day-Care mechanics independent from the phone system.,phone-system extension,pokeheartgold scr_seq_0237_R34.s
PH4-003,Goldenrod Radio Card quiz,The Radio Tower receptionist offers a five-question yes/no quiz; clearing it enables the Pokégear Radio Card.,Retains the five-question quiz and Radio Card.,Retains a five-question quiz and registers the Radio function with FLAG_GOT_RADIO_CARD.,Keep the original five-question structure and Radio Card as an optional side objective. HGSS presentation can be backported without turning the quiz into a mandatory gym gate.,preserve system / presentation upgrade,pokecrystal maps/RadioTower1F.asm; pokeheartgold scr_seq_0029_D23R0101.s
PH4-004,Whitney cameo at the Radio Tower,Whitney's gym availability is not conditioned on the Radio Card quiz.,Same: the quiz is not a prerequisite to challenge Whitney.,"Whitney is staged at the Radio Tower quiz; after the player wins the quiz her object is moved/hidden, narratively sending her back toward the Gym.","Use a first-contact location state. If the player visits the Radio Tower first, play the HGSS Whitney cameo; if the player challenges the Gym first, preserve GSC freedom and convert/suppress the cameo so Whitney is never duplicated. Never require the quiz to enter the Gym.",progression-freedom preservation,pokeheartgold scr_seq_0029_D23R0101.s; pokecrystal maps/RadioTower1F.asm
PH4-005,Whitney battle / crying sequence,"After losing, Whitney cries and initially withholds the Plain Badge until another trainer explains her behavior and the crying state clears.",Same core crying/badge sequence.,Preserves the delayed badge flow with explicit scene/state variables and helper-NPC movement.,Keep the GSC sequence intact and use HGSS state handling/choreography to make the transition robust.,direct preservation / state hardening,pokecrystal maps/GoldenrodGym.asm; pokeheartgold scr_seq_0886_T25GYM0101.s
PH4-006,Whitney TM reward,TM45 Attract.,TM45 Attract.,TM45 Attract.,No conflict. Keep a single TM45 Attract reward with shared claimed-state tracking.,direct preservation,pokecrystal maps/GoldenrodGym.asm; pokeheartgold scr_seq_0886_T25GYM0101.s
PH4-007,Goldenrod Underground legacy services,"The Underground contains trainers, the Coin Case, haircut brothers and time/day-dependent merchants; later it also participates in the Rocket takeover route.",Retains and expands the time/day-dependent Underground service structure.,Reworks the tunnel while retaining later Rocket-state dependencies.,"Preserve all GSC Underground services, schedules, Coin Case and later locked-story infrastructure. HGSS additions must coexist instead of replacing these facilities.",content preservation,pokecrystal maps/GoldenrodUnderground.asm; pokeheartgold scr_seq_0093_D37R0101.s
PH4-008,HGSS Fashion Case encounter in Goldenrod Tunnel,No opposite-gender protagonist/Marill Fashion Case presentation.,No HGSS-style Fashion Case scene.,The childhood friend/opposite-gender protagonist and Marill appear in the tunnel and give ITEM_FASHION_CASE.,Add the encounter only when the accessory/fashion subsystem exists. Until then keep the script/data dormant; never substitute an unrelated GSC item.,HGSS additive system hook,pokeheartgold scr_seq_0093_D37R0101.s
PH4-009,Route 35 / National Park fork,Route 35 leads toward National Park/Route 36 while optional trainers and side content remain independent.,Preserves the same route topology with weekday/event content.,Retains the same story function with expanded side systems.,Keep the original route freedom. Do not turn HGSS side systems into mandatory story gates.,preserve topology/progression,pokeheartgold scr_seq_0240_R35.s; GSC map topology
PH4-010,Floria / SquirtBottle setup,Floria identifies the strange tree as a Pokémon; after Whitney is beaten the flower-shop route provides access to the SquirtBottle.,Same core setup and requirement relationship.,Retains SquirtBottle checks and a flower-shop-girl state around Sudowoodo.,Preserve the GSC Whitney→flower-shop→SquirtBottle logic; import HGSS object-state/choreography without changing the trigger facts.,direct preservation / state hardening,pokecrystal maps/Route36.asm; pokeheartgold scr_seq_0243_R36.s
