ID,Event,Gold / Silver,Crystal,HeartGold / SoulSilver,Integration decision,Class
PH6-001,Route 42 Suicune waypoint,Gold/Silver: no scripted Suicune waypoint.,Crystal: the Route 42 sighting clears the Route 36 Suicune hide/event state and arms the Route 36 scene.,"HGSS: the Route 42 sighting instead clears the Vermilion Suicune hide flag, handing the chase to Kanto.",This is the first explicit branch point after the shared Cianwood→Route42 sequence. Keep CRYSTAL_ROUTE36 and HGSS_VERMILION as separate next states.,version-divergent legendary state
PH6-002,HM04 Strength acquisition,GSC: Strength is obtained through the Olivine-side legacy event flow.,Crystal retains the Gen II acquisition route.,HGSS: a Route 42 hiker collision/event gives ITEM_HM04.,Keep one HM04 Strength entitlement with two source events. Whichever grants it first marks the shared claim; the other event remains for dialogue/content without duplicating the HM.,same reward / moved event
PH6-003,Mt. Mortar branch,Optional cave branch with trainers/items and later deep-cave content; not required for the Lake of Rage investigation.,Same core role.,"Same core role, with expanded maps/content.",Do not convert Mt. Mortar into a mandatory story corridor. Preserve all legacy cave content and backport remake content as an optional expansion pass.,preserve optional topology
PH6-004,Mahogany eastward blocker / RageCandyBar,A merchant blocks eastward progression and sells RageCandyBar; the block is tied into Rocket-story progression.,"Same core gate, with the ¥300 RageCandyBar script.",Mahogany uses explicit story variables and RageCandyBar purchase states; script contains distinct price paths that require state-by-state verification.,Preserve the GSC blocker and shop behavior. Do not normalize the HGSS price paths until their exact activation states are verified.,story gate + shop-state preservation
PH6-005,Route 43 Rocket toll gate,Team Rocket extorts the player at the gate while the hideout is active.,Explicit ¥1000 shakedown in both directions.,HGSS route-gate script also subtracts ¥1000 and uses dedicated Rocket/guard visibility flags.,Preserve the toll event exactly as a Rocket occupation event and clear it atomically with the hideout.,direct preservation
PH6-006,Route 43 guard restoration reward,"After Team Rocket is cleared, the legitimate guard returns.",The returning officer gives TM36 Sludge Bomb.,HGSS has FLAG_GOT_TM36_FROM_ROUTE_43_GUARD and awards ITEM_TM36 after the Rockets disappear.,One shared TM36 reward state; no conflict.,direct preservation
PH6-007,Red Gyarados,Fixed shiny Gyarados Lv.30 at the Lake of Rage.,Uses BATTLETYPE_FORCESHINY at Lv.30.,Static SPECIES_GYARADOS Lv.30 with explicit static-encounter outcome and caught flags.,Keep the Lv.30 forced-shiny encounter and use the HGSS-style explicit outcome state to avoid duplicate appearance/reward errors.,direct preservation / state hardening
PH6-008,Red Scale reward,The Red Scale is obtained from the Red Gyarados event.,Same.,ITEM_RED_SCALE with FLAG_GOT_RED_SCALE; catch state is tracked separately.,"Use separate RED_GYARADOS_RESOLVED, CAUGHT_RED_GYARADOS and GOT_RED_SCALE states. Red Scale acquisition must be retry-safe if the bag is full.",key-item state hardening
PH6-009,Red Scale → Exp. Share exchange,Mr. Pokémon exchanges the Red Scale for Exp. Share.,"Same, explicitly gives EXP_SHARE and removes RED_SCALE.",HGSS checks FLAG_EXCHANGED_RED_SCALE and gives ITEM_EXP__SHARE.,One preserved exchange chain with source-aware item IDs and one completion flag.,direct preservation
PH6-010,Lance recruitment at Lake of Rage,"After Red Gyarados, Lance asks the player to investigate the radio signal; the player can refuse and accept later.",Same refusal/retry structure.,HGSS retains yes/no and a refusal state before sending Lance/Dragonite to Mahogany.,Preserve refusal and later acceptance; never force acceptance on first dialogue.,choice preservation
