ID,Event / System,Gold / Silver,Crystal,HeartGold / SoulSilver,Integration decision,Class
PH9-001,Route 27 League departure,"After the eighth Johto badge, the eastbound route from New Bark leads into Route 27 and the League road.",Same basic League route; Crystal's legendary story does not replace it.,Same route after the HGSS-only primary-mascot gate from Phase 8 is resolved.,Use one semantic `JOHTO_LEAGUE_ROUTE_RELEASED`; source mode determines whether HGSS mascot resolution is among its prerequisites.,arc handoff
PH9-002,First step into Kanto,Route 27 has a dedicated first-step scene: an NPC tells the player they have just entered Kanto.,Preserved.,Preserved; the Route 27 script still advances a one-time state and its text explicitly identifies the first step into Kanto.,"Treat as legacy GSC story content retained by HGSS, not an HGSS addition.",legacy-preserved event
PH9-003,Route 27 full content,"Trainers, items, water/land paths, houses and Route 27's original optional content coexist with the main League path.",Preserved with Crystal data differences where present.,Remade field map retains route events and adds Gen IV systems/presentation.,Do not reduce Route 27 to a transition corridor; migrate each trainer/item/NPC/phone/hidden-item object separately.,route preservation
PH9-004,Tohjo Falls main map,Tohjo Falls connects two sections of Route 27 and contains a Moon Stone item ball.,Same basic dungeon role.,Main map `D45R0101` remains a traversal map; its field-script member is minimal because geometry/object data carries much of the behavior.,Preserve the GSC Moon Stone and all map/object data even when HGSS script code is sparse.,map/data preservation
PH9-005,Waterfall traversal requirement,HM07 Waterfall + Rising Badge are required to negotiate the falls.,Same.,Waterfall remains the field-move progression mechanic.,Check semantic `MOVE_WATERFALL_USABLE` rather than hard-coding only the item slot; preserves future TM/HM architecture expansion.,field-move gate
PH9-006,HGSS Tohjo Falls hidden room,Absent.,Absent.,Adds hidden map `D45R0102` containing Giovanni and the time-travel event sequence.,Add as a separate optional special-event map; it must never become part of ordinary Route 27 traversal.,HGSS special event
PH9-007,Celebi/Giovanni event provenance,Absent.,Absent.,"The hidden-room script is driven by special event state, partner/follower choreography and a Celebi-linked timeslip sequence.",Preserve original distribution/event prerequisites in documentation. Any project in-game unlock must use a distinct `PROJECT_UNLOCK_*` flag.,distribution-linked event
PH9-008,Giovanni battle,Absent.,Absent.,"Hidden-room script battles `TRAINER_ROCKET_BOSS_GIOVANNI`, branches on battle result, hides Giovanni on resolution and returns via timeslip to Ilex Forest.","Keep battle, defeat/whiteout branches, audio and time-travel state independent from the standard League arc.",HGSS battle event
PH9-009,Giovanni whiteout/recovery,Not applicable.,Not applicable.,The special script has an explicit loss branch that performs the timeslip return and resets event state rather than leaving the player trapped.,"Regression-test loss, save/reload and re-trigger behavior; no permanent event lock.",boundary condition
PH9-010,Route 26 route content,Trainer-heavy climb toward the League includes a healing house and other route events.,Preserved.,Route 26 is remade with its route/building scripts and Gen IV field systems.,"Preserve trainer order, healing services, houses, items and side NPCs; route progress is not just a level-gate.",route preservation
PH9-011,Route 26 healing house,Free healing is available before the Reception Gate.,Same.,Equivalent support remains in the remade route structure.,Retain as a recovery checkpoint before Victory Road and the Elite Four.,service preservation
