category,product_or_system,platform,regions_languages,revisions,primary_track,status,source_media_policy
core_game,Pokemon Ruby,GBA,all official releases,all verified revisions,ARM7TDMI disassembly+ROM map,phase_1_active_dedicated_repo,local_only
core_game,Pokemon Sapphire,GBA,all official releases,all verified revisions,ARM7TDMI disassembly+ROM map,phase_1_active_dedicated_repo,local_only
core_game,Pokemon Emerald,GBA,all official releases,all verified revisions,ARM7TDMI disassembly+ROM map,phase_1_active_dedicated_repo,local_only
core_game,Pokemon FireRed,GBA,all official releases,all verified revisions,ARM7TDMI disassembly+ROM map,phase_1_active_dedicated_repo,local_only
core_game,Pokemon LeafGreen,GBA,all official releases,all verified revisions,ARM7TDMI disassembly+ROM map,phase_1_active_dedicated_repo,local_only
gamecube_game,Pokemon Colosseum,GameCube,JP|NA|PAL and verified official variants,all verified revisions,PowerPC executable+filesystem disassembly,phase_1_active_central_workspace,local_only
gamecube_game,Pokemon XD Gale of Darkness,GameCube,JP|NA|PAL and verified official variants,all verified revisions,PowerPC executable+filesystem disassembly,phase_1_active_central_workspace,local_only
gamecube_software,Pokemon Box Ruby & Sapphire,GameCube,JP|NA|PAL and verified official variants,all verified revisions,PowerPC executable+save+GBA-link disassembly,phase_1_active_central_workspace,local_only
gamecube_software,Pokemon Channel,GameCube,official variants relevant to Gen III linking/distribution,all verified revisions,PowerPC executable+distribution/link disassembly,phase_1_active_central_workspace,local_only
peripheral,Nintendo e-Reader,GBA peripheral,JP|NA and other verified supported markets,all verified hardware/software revisions,device protocol+card payload reverse engineering,phase_1_active_central_workspace,local_only
peripheral,e-Card payload ecosystem,e-Reader media,all verified official card regions,all verified card revisions/sets,payload format+script+trainer/event data disassembly,phase_1_active_central_workspace,local_only
peripheral,GBA Wireless Adapter,GBA peripheral,all verified supported markets,all verified revisions,wireless protocol+title-side routine disassembly,phase_1_active_central_workspace,local_only
link,GameCube-GBA Link Cable,GameCube+GBA,all verified supported markets,n/a,serial protocol+both-side handler disassembly,phase_1_active_central_workspace,n/a
system,Mystery Event,GBA,per-title/per-region availability,all verified revisions,protocol+save flag+payload handler disassembly,phase_1_active_central_workspace,n/a
system,Mystery Gift,GBA,per-title/per-region availability,all verified revisions,wireless/event protocol+save handler disassembly,phase_1_active_central_workspace,n/a
distribution,Bonus Discs and official distribution discs,GameCube,all documented official regions,all verified disc revisions,PowerPC distribution executable+payload disassembly,phase_1_active_central_workspace,local_only
distribution,Official event cartridges,GBA,all documented official regions,all verified cartridge revisions,event executable+payload+protocol disassembly,phase_1_active_central_workspace,local_only
distribution,Official distribution devices,mixed,all documented official regions,all verified device/software revisions,device/software/protocol reverse engineering,phase_1_active_central_workspace,local_only
event,Eon Ticket,GBA/e-Reader/distribution,JP|NA|PAL variants where verified,all verified distributions,event payload+flag+transport linkage,phase_1_active_central_workspace,local_only
event,AuroraTicket,GBA/distribution,all documented official regions,all verified distributions,event payload+flag+transport linkage,phase_1_active_central_workspace,local_only
event,MysticTicket,GBA/distribution,all documented official regions,all verified distributions,event payload+flag+transport linkage,phase_1_active_central_workspace,local_only
event,Old Sea Map,GBA/distribution,Japan,all verified distributions,event payload+flag+transport linkage,phase_1_active_central_workspace,local_only
unused_data,Unused and dummy data,all Gen III targets,per-target,per-revision,unreachable code/data/debug residue classification,phase_1_active_cross_target,n/a
regional_revision,Regional and revision differences,all Gen III targets,all official regions/languages,all verified revisions,binary diff+symbol/data reconciliation,phase_1_active_cross_target,n/a
interoperability,Cross-title compatibility matrix,GBA+GameCube+peripherals,all verified official combinations,all verified revisions,protocol/version gate/save compatibility disassembly,phase_1_active_cross_target,n/a
