dex_number,pokemon_name_gs_korean,category_same,height_same,weight_same,description_same,gold_category,silver_category,height_dm,weight_hg,gold_description,silver_description,gold_bank_hex,silver_bank_hex,gold_cpu_address_hex,silver_cpu_address_hex
1,이상해씨,True,True,True,False,씨앗,씨앗,7,69,등의 씨앗 안에는<NEXT>영양이 가득하다  씨앗은<NEXT>몸과함께 크게 자란다,태어날 때부터 등에 씨앗을<NEXT>짊어지고 있다  몸이 크게<NEXT>성장함에 따라 씨앗도 커진다,0x68,0x68,0x4000,0x4000
2,이상해풀,True,True,True,False,씨앗,씨앗,10,130,햇빛을 받는만큼<NEXT>몸에 힘이 솟아 나와<NEXT>등의 꽃봉오리가 자라난다,등의 꽃봉오리에서 달콤한 향기가<NEXT>나기 시작했다는 것은 이제 곧<NEXT>커다란 꽃이 핀다는 증거다,0x68,0x68,0x4046,0x4057
3,이상해꽃,True,True,True,False,씨앗,씨앗,20,1000,커다란 꽃잎을 펴서<NEXT>햇빛을 받고 있으면<NEXT>몸에 힘이 가득 넘쳐난다,내리쪼이는 태양의 빛을<NEXT>에너지로 변환할 수 있기 때문에<NEXT>여름 때에 더욱 강해진다,0x68,0x68,0x408B,0x40B6
4,파이리,True,True,True,False,도롱뇽,도롱뇽,6,85,꼬리에서 타오르는 화염은<NEXT>생명력의 상징<NEXT>힘이 없으면 화염은 약해진다,꼬리의 화염은 파이리의<NEXT>생명력의 상징<NEXT>건강할 때 왕성하게 불타오른다,0x68,0x68,0x40D1,0x410C
5,리자드,True,True,True,False,화염,화염,11,190,불타오르는 듯한 성격으로 항상<NEXT>싸울 상대를 찾아다닌다<NEXT>이기지 못하면 마음을 잡지 못한다,불꽃의 꼬리를 휘두르며<NEXT>날카로운 발톱으로 상대를 공격<NEXT>몹시 거칠은 성격,0x68,0x68,0x411E,0x4159
6,리자몽,True,True,True,False,화염,화염,17,905,정말 화가 난 리자몽의<NEXT>꼬리 끝의 화염은<NEXT>푸른빛으로 불타오른다,무엇이든 녹여버릴 정도의<NEXT>작열하는 화염을 뿜어<NEXT>상대를 공격한다,0x68,0x68,0x417C,0x41A7
7,꼬부기,True,True,True,False,꼬마거북,꼬마거북,5,90,태어나서는 부드러운 껍질도<NEXT>곧 손으로 찌르면 뜅겨나갈 정도의<NEXT>탄력성을 지니도록 된다,태어나서 조금 지나면 딱딱해지는<NEXT>껍질에는 반발력이 있어서<NEXT>손가락으로 찌르면 튕겨져버린다,0x68,0x68,0x41C1,0x41ED
8,어니부기,True,True,True,False,거북,거북,10,225,장수의 상징으로 여겨지고 있다<NEXT>껍질에 이끼가 붙어있는 것은<NEXT>특별히 장수를 한 거북이다,탐스러운 귀와 꼬리를<NEXT>능숙하게 다뤄서 수중에서의<NEXT>밸런스를 유지한다,0x68,0x68,0x4220,0x4251
9,거북왕,True,True,True,False,껍질,껍질,16,855,분사한 물의 위력에<NEXT>밀리지 않도록 특별히<NEXT>체중을 무겁게 불리고 있다,껍질의 로켓포로부터<NEXT>뿜어져 나오는 제트수류는<NEXT>두꺼운 철판도 뚫는다,0x68,0x68,0x427C,0x429B
10,캐터피,True,True,True,False,애벌레,애벌레,3,29,머리의 더듬이로부터<NEXT>강렬한 냄새를 풍겨서<NEXT>적을 물리치고 몸을 보호한다,발 끝에 있는 어디든지<NEXT>달라붙는 빨판으로 필사적으로<NEXT>나무타기를 해서 잎사귀를 먹는다,0x68,0x68,0x42C6,0x42E5
