ID,Event / System,Integration decision,Class,Evidence
PH11-001,Persistent story state vs recurring scheduler state,"Never reuse one-shot story-completion flags as recurring-event availability. Create permanent, daily, weekly, scheduled and per-cycle namespaces.",state architecture,pokecrystal engine flags/phone scripts; pokeheartgold RTC/daily/phone code
PH11-002,Gen II ordinary trainer phone rematches,Preserve all Gen II ordinary phone trainers and their calls; Gym Leader rematches are additive rather than replacements.,legacy recurring system,pret/pokegold engine/phone/scripts/trainers.asm; pret/pokecrystal engine/phone/scripts/*
PH11-003,Phone trainer weekday/time examples,"Represent schedule as data, not hard-coded map scripts.",data-driven scheduler,pokecrystal phone scripts; pokeheartgold files/tel/pmtel_book.json
PH11-004,Phone gifts / non-battle calls,"Phone contact records must support battle, gift, news, story and generic-call behaviors independently.",phone-system preservation,pokeheartgold pmtel_book.json; Gen II phone scripts
PH11-005,Gym Leader phone subsystem,Add as an HGSS subsystem without changing original badge/rematch content.,HGSS system expansion,pokeheartgold phone_scripts_gym_leader.c; scr_seq_0832_T11R0101.s
PH11-006,Gym Leader rematch global requirement,"Use semantic `ALL_16_BADGES_OBTAINED`; phone number registration may happen earlier, but scheduling a dojo rematch requires the verified 16-badge condition.",HGSS progression gate,pokeheartgold phone_scripts_gym_leader.c
PH11-007,Gym Leader rematch state layers,"Use separate states: `PHONE_REGISTERED`, `REMATCH_WINDOW_VALID`, `REMATCH_SEEKING`, `DOJO_PRESENT`, `REMATCH_RESOLVED_THIS_BOOKING`.",save/state architecture,pokeheartgold phone_scripts_gym_leader.c; scr_seq_0832_T11R0101.s
PH11-008,Fighting Dojo leader dispatch,Build a data-driven leader roster rather than 16 unrelated story flags.,HGSS facility,pokeheartgold scr_seq_0832_T11R0101.s
PH11-009,Fighting Dojo rematch teams,Store first-battle and dojo-rematch trainer IDs separately; never mutate the original Gym battle record after a rematch is scheduled.,trainer data expansion,pokeheartgold scr_seq_0832_T11R0101.s; trainer data
PH11-010,Fighting Dojo rematch victory,Clearing a booking must not unregister the phone number or erase prior Gym victory.,recurring-state lifecycle,pokeheartgold scr_seq_0832_T11R0101.s
PH11-011,Fighting Dojo rematch loss,Regression-test whiteout so `REMATCH_SEEKING` is not accidentally consumed.,boundary condition,pokeheartgold scr_seq_0832_T11R0101.s
PH11-012,Apparent Fighting Dojo capacity bug,Document original HGSS behavior. Project correction candidate: iterate all 16 and enforce the apparent five-booking capacity only if later validation confirms that intent; do not silently present the correction as original behavior.,verified code defect / intent uncertain,pokeheartgold phone_scripts_gym_leader.c
PH11-013,Falkner phone / rematch schedule,Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-014,Bugsy phone / rematch schedule,Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-015,Whitney phone / rematch schedule,Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-016,Morty phone / rematch schedule,Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-017,Chuck phone / rematch schedule,Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-018,Jasmine phone / rematch schedule,Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-019,Pryce phone / rematch schedule,Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-020,Clair phone / rematch schedule,Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-021,Brock phone / rematch schedule,Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-022,Misty phone / rematch schedule,Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-023,Lt. Surge phone / rematch schedule,Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-024,Erika phone / rematch schedule,Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-025,Janine phone / rematch schedule,Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-026,Sabrina phone / rematch schedule,Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-027,Blaine phone / rematch schedule,Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-028,Blue phone / rematch schedule,Keep registration eligibility and rematch call window as two separate predicates. The leader may be registered without currently being schedulable.,Gym Leader recurring schedule,pret/pokeheartgold pmtel_book.json + leader field scripts; exact schedule cross-check: Bulbapedia Fighting Dojo/Pokégear
PH11-029,Leader phone registration locations are normal-world content,Do not teleport/replace the original Gym Leader object. World appearances are time-conditioned alternate actors.,NPC scheduling,pokeheartgold leader-specific field scripts; pmtel_book.json
PH11-030,Leader rematch call while on same map section,Preserve this special case so map-local calls do not schedule through the generic remote-call path.,phone edge case,pokeheartgold phone_scripts_gym_leader.c
PH11-031,Incoming Gym Leader calls,Incoming and outgoing call states must share the same persistent reservation record.,phone dialogue state,pokeheartgold phone_scripts_gym_leader.c
PH11-032,Bug-Catching Contest schedule,Preserve as a recurring weekly facility; never set a permanent 'contest completed' story flag.,weekly event,pokecrystal Route35/36 NationalParkGate; pokeheartgold Bug Contest messages/scripts
PH11-033,Bug-Catching Contest active-run state,Separate `BUG_CONTEST_ACTIVE_RUN` from weekday availability and historical participation.,temporary facility state,pokeheartgold scr_seq_0151.s; encounter.c
PH11-034,Bug-Catching Contest caught Pokémon handling,Do not reuse ordinary wild-catch cleanup blindly; contest party/storage transition needs its own transaction.,capture-system interaction,pokeheartgold encounter.c
PH11-035,Buena's Password / Blue Card,Preserve Crystal's system as a legacy expansion and map HGSS presentation/data on top of it rather than replacing it.,Crystal→HGSS recurring content,pokecrystal radio.asm; pokeheartgold buenas_password.c; scr_seq_0030_D23R0102.s
PH11-036,Buena weekly password lifecycle,"Use `BUENA_WEEK_ID`, `BUENA_PASSWORD_ID`, and per-week participation state; do not make password completion permanent.",weekly state,pokecrystal engine/pokegear/radio.asm; pokeheartgold radio show code
PH11-037,Buena contact vs Blue Card ownership,"Phone registration, Blue Card possession, weekly password and prize points must remain separate save fields.",save-state separation,pokeheartgold pmtel_book.json; scr_seq_0030_D23R0102.s
PH11-038,Goldenrod haircut daily flag,Preserve daily reset semantics; Rocket-takeover and tunnel-story states must never consume the haircut flag.,daily service,pokecrystal engine_flags.asm; pokeheartgold flags.h / Goldenrod Underground scripts
PH11-039,Daily reset engine,"Centralize RTC day rollover. Map scripts should query reset state, not manually clear their own flags.",RTC architecture,pokeheartgold unk_02055418.c; pokecrystal engine flags
PH11-040,RTC manipulation / elapsed-day safety,Do not treat manual clock changes as normal day transitions. Preserve source penalty/cooldown semantics where verified.,RTC boundary handling,pokeheartgold unk_02055418.c
PH11-041,Friday Union Cave Lapras,Preserve Friday recurrence and species-specific caught/weekly-return semantics; do not convert it into a one-time legendary-style flag.,weekly fixed encounter,pokecrystal maps/UnionCaveB2F.asm; engine_flags.asm
PH11-042,Weekday siblings,Keep each sibling's one-time gift fact separate from the NPC's weekday visibility.,weekday NPC system,pokecrystal constants/event_flags.asm
PH11-043,Mt. Moon Square Clefairy daily/weekly state,Preserve Crystal event state independently; do not generalize all scheduled NPCs into one generic weekly bit.,time event,pokecrystal engine_flags.asm / Mt Moon scripts
PH11-044,Daisy grooming / massage daily state,"Store daily-use state, lifetime massage count and friendship check independently.",daily service + prerequisite,pokecrystal daily flags; HGSS Blue phone requirement / field scripts
PH11-045,S.S. Aqua recurring timetable,Keep first-voyage granddaughter story state separate from recurring timetable state.,recurring transport,Phase 9 source manifest; HGSS S.S. Aqua scripts
PH11-046,Mass outbreak unlock,Use `MASS_OUTBREAKS_UNLOCKED` separately from current outbreak species/location/date.,HGSS postgame system,pokeheartgold ScrCmd_EnableMassOutbreaks; Phase 9 Olivine Oak script
PH11-047,Current mass outbreak state,"Separate global unlock from `CURRENT_OUTBREAK_ID`, start cycle and announced state.",encounter scheduler,pokecrystal WRAM swarm flags; pokeheartgold outbreak save code
PH11-048,Story phone calls vs recurring phone calls,Contact ID must dispatch to a behavior class; story completion cannot be inferred from having a phone number.,phone architecture,pokeheartgold pmtel_book.json / phone scripts
PH11-049,Kurt / Day-Care recurring contacts,Do not force all contacts through trainer-rematch fields. Preserve specialized service callbacks.,phone service integration,pokeheartgold pmtel_book.json
PH11-050,Battle/frontier/facility daily flags,Keep facility cooldown/record namespaces separate from map/story daily flags. Deep Frontier/Pokéathlon audit is deferred.,facility state,pokecrystal engine_flags.asm; HGSS facility systems
PH11-051,Post-Hall-of-Fame legendary restoration,Never implement a blanket 'all legendaries respawn after League'. Use per-species `eligible_to_restore()` rules.,recurring/recovery world state,Phase 9 Hall of Fame source audit
PH11-052,Recurring content save/load reconstruction,"After loading, derive NPC visibility from authoritative state. Do not serialize transient object visibility as the sole truth.",save architecture,GSC callbacks; HGSS field/phone state
PH11-053,Daily reset must not erase permanent claims,For every recurring event keep `UNLOCKED/ONE_TIME_REWARD_CLAIMED` outside daily-reset blocks.,data-integrity rule,Gen II daily flags; HGSS flags.h
PH11-054,Weekly reset must not replay story cinematics,Recurring availability may reappear; story introduction/cinematics remain one-shot unless source explicitly repeats them.,integration rule,HGSS leader rematches + GSC recurring events
PH11-055,Phase 11 completion criterion,"Phase 11 is complete at the architecture/research level only when recurring state survives save/load, day rollover, whiteout and story transitions without consuming one-shot content.",verification,combined Phase 11 sources
