ID,Event,Gold / Silver,Crystal,HeartGold / SoulSilver,Integration decision,Class
PH5-001,Ecruteak Gym access before beast release,Gold/Silver: Morty's Gym has no Crystal-style forced-ejection scene.,Crystal: the Gym has a forced-leave scene until the Burned Tower beast-release state advances.,HGSS: the Gym header routes VAR_UNK_4079==0 to a forced-leave script; Burned Tower later advances the variable.,"Preserve G/S progression freedom in the integrated build. Crystal/HGSS story state can naturally unlock the normal route, but beating Morty early must remain representable and later Burned Tower dialogue must adapt.",progression freedom / version divergence
PH5-002,Morty reward,Fog Badge + TM30 Shadow Ball.,Fog Badge + TM30 Shadow Ball.,Fog Badge + ITEM_TM30.,Single shared reward state; no conflict.,direct preservation
PH5-003,Ecruteak Gym puzzle,Gen II invisible-path style Gym.,Retains the Gen II puzzle family and adds the pre-beast-release ejection state.,Rebuilt with EcruteakGymInit/fall-reset handling.,Preserve the GSC puzzle as content; add the HGSS puzzle as a selectable/rebuilt map layer rather than deleting the original.,map/puzzle coexistence
PH5-004,Route 38 westbound progression,Normal route toward Route 39/Olivine with trainers and phone/side events.,Same core progression.,Same core story function; checked R38 script is minimal and does not add a new mandatory main-story branch.,Keep route progression unchanged; remake additions remain optional layers.,preserve topology
PH5-005,Route 39 Baoba encounter,No Baoba/Safari Zone introduction.,No HGSS Baoba introduction.,"Baoba stops the player on Route 39, explains his new Safari Zone project, registers his Pokégear number, and later calls when the facility opens.",Add as an HGSS side-story seed. It must not remove or overwrite Moomoo Farm or Route 39 legacy events.,HGSS additive side story
PH5-006,Moomoo Farm sick Miltank,Sick Miltank is healed by feeding seven Berries.,"Same seven-Berry progression, tracked by wMooMooBerries with milestones at 3, 5, and 7.",Uses seven Oran Berries; the script advances through seven explicit state flags before setting the healed flag.,Use one 0–7 healing counter. Legacy BERRY and Gen IV ORAN_BERRY remain separately documented official inputs; integrated acceptance of both is a project compatibility rule.,shared quest / item-system divergence
PH5-007,Moomoo Farm completion reward,TM13 Snore after healing Miltank.,TM13 Snore after healing Miltank.,TM83 Natural Gift after healing Miltank.,"Do not replace TM13. Preserve TM13 Snore and add TM83 Natural Gift after Gen IV TM expansion, each with its own claimed flag.",TM reward conflict
PH5-008,Moomoo Milk sales,Milk becomes available after Miltank recovery; price is ¥500.,Same.,Milk sales unlock after the healed state; script supports single and dozen purchase options.,Preserve the original ¥500 single sale and add HGSS bulk-purchase UI as an extension.,shop/UI extension
PH5-009,Olivine arrival and Gym absence,Jasmine is away at the Lighthouse until Amphy is healed.,Same core story.,Jasmine's Gym object is hidden until Lighthouse healing clears the hide flag.,Use one Jasmine-location state so the Lighthouse and Gym copies can never coexist.,location state
PH5-010,Lighthouse ascent,Multi-floor trainer route to Jasmine and Amphy.,Same core structure.,Expanded 3D lighthouse traversal while preserving the climb-to-Amphy story function.,Keep all GSC trainer/event content; remake map geometry is a separate map-backport layer.,preserve content / map expansion
